tb_id,tb_short_name,tb_full_name,old_gosb_name,old_gosb_id,new_gosb_name,new_gosb_id,isu_branch_id,isu_branch_name,web_gosb_id,pirs_gosb_id,pirs_gosb_name,utc_timezone,timezone_violation_msk,region_id,region_name,inserted_dttm,author_login
52,ЮЗБ,Юго-Западный банк,Северо-Осетинское ГОСБ № 8632,8632,Северо-Осетинское ГОСБ № 8632,8632,23559.0,Северо-Осетинское,1075.0,8632.0,СЕВЕРО-ОСЕТИНСКОЕ ОТДЕЛЕНИЕ №8632,3,0,15.0,Республика Северная Осетия - Алания,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,ГО по ЛО,9600,ГО по Ленинградской области,9056,15636.0,Ленинградская обл.,1097.0,9056.0,ГОЛОВНОЕ ОТДЕЛЕНИЕ ПО ЛЕНИНГРАДСКОЙ ОБЛАСТИ 9056,3,0,47.0,Ленинградская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
42,ВВБ,Волго-Вятский банк,Кировское ГОСБ № 8612,8612,Кировское ГОСБ № 8612,8612,10878.0,Кировское,1049.0,8612.0,КИРОВСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8612,3,0,43.0,Кировская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Запад,3802,Аппарат МБ,9038,,Московский банк,1025.0,3802.0,ЗАПАДНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
44,СибБ,Сибирский банк,Аппарат СибБ,440000,Аппарат СибБ,440000,10863.0,Сибирский банк,1066.0,8047.0,НОВОСИБИРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8047,7,4,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
70,ДВБ,Дальневосточный банк,Биробиджанское ГОСБ № 4157,4157,Биробиджанское ГОСБ № 4157,4157,19959.0,Биробиджанское,1099.0,4157.0,БИРОБИДЖАНСКОЕ ОТДЕЛЕНИЕ №4157,10,7,79.0,Еврейская АО,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
2,ЦА,Центральный аппарат,Подразделения ЦА,99,Подразделения ЦА,99,,Подразделения ЦА,,-2.0,Подразделения ЦА,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Кабардино-Балкарское ГОСБ № 8631,8631,Кабардино-Балкарское ГОСБ № 8631,8631,23553.0,Кабардино-Балкарское,1074.0,8631.0,КАБАРДИНО-БАЛКАРСКОЕ ОТДЕЛЕНИЕ №8631,3,0,7.0,Кабардино-Балкарская Республика,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,Калининградское ГОСБ № 8626,8626,Калининградское ГОСБ № 8626,8626,10897.0,Калиниградское,1089.0,8626.0,КАЛИНИНГРАДСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8626,2,-1,39.0,Калининградская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
42,ВВБ,Волго-Вятский банк,ГОСБ Банк Татарстан № 8610,8610,ГОСБ Банк Татарстан № 8610,8610,10876.0,Татарстан,1047.0,8610.0,БАНК ТАТАРСТАН ГОЛОВНОЕ ОТДЕЛЕНИЕ №8610,3,0,16.0,Республика Татарстан,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Курганское ГОСБ № 8599,8599,Курганское ГОСБ № 8599,8599,4294.0,Курганское,1015.0,8599.0,КУРГАНСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8599,5,2,45.0,Курганская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,Архангельское ГОСБ № 8637,4090,Архангельское ГОСБ № 8637,8637,4285.0,Архангельское,1094.0,8637.0,АРХАНГЕЛЬСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8637,3,0,29.0,Архангельская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Северо-Восток,3804,Аппарат МБ,9038,,Московский банк,1027.0,3804.0,СЕВЕРО-ВОСТОЧНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Западно-Сибирское отделение №8647,8647,Западно-Сибирское отделение №8647,8647,2534.0,Западно - Сибирское,1016.0,29.0,ТЮМЕНСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №29,5,2,72.0,Тюменская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,Калужское ГОСБ № 8608,8608,Калужское ГОСБ № 8608,8608,10873.0,Калужское,1040.0,8608.0,КАЛУЖСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8608,3,0,40.0,Калужская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,Архангельское ГОСБ № 8637,9077,Архангельское ГОСБ № 8637,8637,4285.0,Архангельское,1094.0,8637.0,АРХАНГЕЛЬСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8637,3,0,29.0,Архангельская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Армавирское ОСБ № 8619/0550 (1827),1827,Краснодарское ГОСБ № 8619,8619,10889.0,Краснодарское,1072.0,8619.0,КРАСНОДАРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8619,3,0,23.0,Краснодарский край,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Югорское ГОСБ № 5940,5940,Югорское ГОСБ № 5940,5940,11622.0,Югорское,1010.0,5940.0,СУРГУТСКОЕ ОТДЕЛЕНИЕ №5940,5,2,86.0,Ханты-Мансийский АО - Югра,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
13,ЦЧБ,Центрально-Черноземный банк,Липецкое ГОСБ № 8593,8593,Липецкое ГОСБ № 8593,8593,13441.0,Липецкое,1002.0,8593.0,ЛИПЕЦКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8593,3,0,48.0,Липецкая область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,Тверское ГОСБ № 8607,8607,Тверское ГОСБ № 8607,8607,10872.0,Тверское,1039.0,8607.0,ТВЕРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8607,3,0,69.0,Тверская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Пятигорское отделение,1007,Ставропольское ГОСБ № 5230,5230,23560.0,Ставорпольское,1068.0,5230.0,СТАВРОПОЛЬСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №5230,3,0,26.0,Ставропольский край,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
42,ВВБ,Волго-Вятский банк,ГОСБ Марий Эл № 8614,8614,ГОСБ Марий Эл № 8614,8614,10880.0,Марий Эл,1051.0,8614.0,МАРИЙ ЭЛ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8614,3,0,12.0,Республика Марий Эл,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
18,ББ,Байкальский банк,Братское отделение,2413,Братское отделение,2413,13630.0,Братское,1018.0,8586.0,ИРКУТСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8586,8,5,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,КИЕВСКОЕ ОТДЕЛЕНИЕ,5278,Аппарат МБ,9038,,Московский банк,1025.0,3802.0,ЗАПАДНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
