metric_id,metric_name,metric_short_name,owner_saphr_id,dev_saphr_id,metric_calc_lvl,is_active,measure_unit,is_rank,rank_sort,is_infopanel,is_navigator,is_sbolpro,cmnt,load_marker,modified_dt,inserted_dttm,author_login
9901294,ЮЛ вернулись,ЮЛ вернулись,1530917.0,1345134.0,,True,,False,,,True,,Для отчета по оттокам в АС Навигатор,,2026-01-30,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001596,Резерв для МРМ,Резерв для МРМ,1532200.0,,,False,,False,,,,,Резерв для МРМ,,2024-02-29,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001324,CHANGE Проекты ВСП в работе,Количество change проектов по каналу ВСП находящихся в работе,1530917.0,,,True,,False,,,False,,Для Водопада в АС Навигатор,,2026-01-23,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001128,"Активности с типом Звонок, совершенные МЗП в рамках задач с типом Отток, Контактная политика",Удержание звонки,1642359.0,2033718.0,,True,,False,,,,,Для виджетов МРМ Эффективность,,2024-06-10,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001295,ФЛ вернулись,ФЛ вернулись,1530917.0,1345134.0,,True,,False,,,True,,Для отчета по оттокам в АС Навигатор,,2025-08-26,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001305,Сокращение срока запуска ЗП проектов на 30%,Сокращение срока запуска ЗП проектов на 30%,1530917.0,,,True,,False,,,False,,Для АС Навигатор,,2026-01-21,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001268,Количество непроизводительных сотрудников,Количество непроизводительных сотрудников,1530917.0,,,True,,True,asc,,,,Для АС Навигатор,,2025-05-14,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001281,Повторяющийся отток ЮЛ,Повторяющийся отток ЮЛ,1530917.0,1345134.0,,True,,False,,,True,,Для отчета по оттокам в АС Навигатор,,2025-08-12,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001105,Возврат оттоков по ТБ,Возврат оттоков по ТБ,1642359.0,1636839.0,,True,,False,,,,,Витрина Эффективности для команды МРМ. Виджет Управление оттоками,,2024-01-31,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001032,"Возврат оттоков ЮЛ, изменение к прошлому месяцу","Возврат оттоков ЮЛ, изменение к прошлому месяцу",1530917.0,1798458.0,,True,,False,,,,,Для виджетов в АС Инфопанель,,2023-07-25,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
9001198,Доля зачислений относительно согласий по продукту перевод на ЗП оформленных ролью ВСП,Доля зачислений относительно согласий по продукту перевод на ЗП оформленных ролью ВСП,1530917.0,,,True,,True,desc,,True,,Для АС Навигатор,,2025-02-18,2026-05-29 16:25:18,60385977 (Демидемоа Анна Демовна [user00002@sample.local])
